scenario,load_level,f_line,f_location,f_duration,iter_time
scenario_0323,0.5,Line 13 - 14.ElmLne,0,0.18,1.7389943000016501
scenario_0324,0.5,Line 13 - 14.ElmLne,0,0.2,1.77617480000481
scenario_0325,0.5,Line 13 - 14.ElmLne,0,0.25,1.777890599994862
scenario_0326,0.5,Line 13 - 14.ElmLne,20,0.1,1.8735441000026185
scenario_0327,0.5,Line 13 - 14.ElmLne,20,0.15,1.7503792999996222
scenario_0328,0.5,Line 13 - 14.ElmLne,20,0.18,1.7283766000036849
scenario_0329,0.5,Line 13 - 14.ElmLne,20,0.2,1.7380458999978146
scenario_0330,0.5,Line 13 - 14.ElmLne,20,0.25,1.742351699998835
scenario_0331,0.5,Line 13 - 14.ElmLne,50,0.1,1.7243856999994023
scenario_0332,0.5,Line 13 - 14.ElmLne,50,0.15,1.7646867000003112
scenario_0333,0.5,Line 13 - 14.ElmLne,50,0.18,1.7733990999986418
scenario_0334,0.5,Line 13 - 14.ElmLne,50,0.2,1.751194000004034
scenario_0335,0.5,Line 13 - 14.ElmLne,50,0.25,1.8007442000016454
scenario_0336,0.5,Line 13 - 14.ElmLne,80,0.1,1.701733999994758
scenario_0337,0.5,Line 13 - 14.ElmLne,80,0.15,1.7455784999983734
scenario_0338,0.5,Line 13 - 14.ElmLne,80,0.18,1.726019300003827
scenario_0339,0.5,Line 13 - 14.ElmLne,80,0.2,1.72948290000204
